RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i15348623,wstkg,2013-05-29 17:43,23,20,0,23,0,23,b14369503,The history of Germany since 1789. Translated from the German by Marian Jackson.,DD203.M35,no
i40221039,wstkg,2015-02-12 12:23,31,19,1,30,0,31,b29522754,"Nineteenth-century Germany : politics, culture, and society 1780-1918 / edited by John Breuilly.",DD203.N54 2001,no
i42305494,hstk ,2012-02-17 13:02,4,4,0,4,0,4,b30886636,"Germany from Napoleon to Bismarck, 1800-1866 / Thomas Nipperdey   translated by Daniel Nolan.",DD203.N5513,no
i27192660,wstkg,2016-11-29 17:53,50,26,2,50,0,50,b2301880x,"Germany from Napoleon to Bismarck, 1800-1866 / Thomas Nipperdey   translated by Daniel Nolan.",DD203.N5513 1996,no
i11482369,wstkg,2010-08-13 12:58,5,1,0,5,0,5,b11178395,"Gesellschaft, Kultur, Theorie : gesammelte Aufs_§tze zur neueren Geschichte / von Thomas Nipperdey.",DD203.N56,no
i43917884,ustk ,2013-04-05 14:42,6,0,0,6,0,6,b32174123,Germany from Napoleon to Bismarck : 1800-1866 / Translated by Daniel Nolan.,DD203.N71,no
i41816353,hstk ,2007-10-13 14:50,1,2,0,1,0,2,b30453240,"Modern Germany, its history and civilization.",DD203.P5,no
i4613931x,kcstk,2016-03-31 18:41,6,3,0,6,0,6,b3374841x,"Modern Germany, its history and civilization.",DD203.P5M6,no
i47050226,kcstk,2014-01-24 14:35,6,3,0,6,0,6,b34460196,Modern Germany : its history and civilization / Koppel s. Pinson   chapter XXIII by Klaus Epstein.,DD203.P5M6 1989,no
i22062890,wstkg,2008-11-10 18:23,4,0,0,4,0,4,b18742981,Modern Germany  its history and civilization / Koppel S. Pinson   Chapter 23 by Klaus Epstein.,DD203.P65 1966,no
i21239368,wstkg,2008-11-10 18:23,7,0,0,7,0,7,b18124033,Modern Germany : its history and civilization.,DD203.P65 1969,no
i84771793,hhhh ,  -  -  ,0,0,0,0,0,0,b68527767,"The discourse strategies of imperialist writing : the German colonial idea and Africa, 1848-1945 / by Felicity Rash.",DD203.R36 2016,no
i43075769,wstkg,2015-02-12 12:23,28,16,0,28,0,28,b31562863,Germany in the nineteenth century : history and literature / Eda Sagarra.,DD203.S22 2001,no
i19832023,wstkg,2015-03-04 15:52,8,4,0,9,0,9,b16937107,An introduction to nineteenth century Germany / Eda Sagarra.,DD203.S23,no
