RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i56897546,kcstk,  -  -  ,0,0,0,0,0,0,b26702757,Symptoms of culture / Marjorie Garber.,CB430.G37 1998,n
i45162906,wstkg,3/9/2010 14:48,14,6,0,14,0,14,b32894673,Globalization and civilizations / edited by Mehdi Mozaffari.,CB430.G58 2002,n
i49206497,wstkg,9/24/2015 19:15,7,6,0,7,0,7,b35303827,"Love, sex & tragedy : how the ancient world shapes our lives / Simon Goldhill.",CB430.G65 2004,n
i84727019,kcstk,  -  -  ,1,0,1,0,0,1,b68473084,Age of discovery : navigating the risks and rewards of our new renaissance / Ian Goldin and Chris Kutarna.,CB430.G66 2016,n
i84192173,ustk ,2/9/2017 12:50,5,2,5,0,0,5,b68215800,Homo deus : a brief history of tomorrow / Yuval Noah Harari.,CB430.H37 2016,n
i84216967,kcstk,10/4/2016 15:14,2,1,2,0,0,2,b68215800,Homo deus : a brief history of tomorrow / Yuval Noah Harari.,CB430.H37 2016,n
i23690847,wstkg,6/18/2015 15:04,35,23,0,35,0,35,b2009954x,Hiding in the light : on images and things / Dick Hebdige.,CB430.H4 1988,n
i73502807,wstkg,5/13/2015 10:59,6,12,0,6,0,12,b59358725,'Pataphysics : a useless guide / Andrew Hugill.,CB430.H84 2012,n
i20230059,rrdlg,  -  -  ,0,0,0,0,0,0,b17299421,Toward a philosophy of the seas [by] Horace M. Kallen.,CB430.K34,n
i60206512,wstkg,2/22/2012 15:25,5,6,0,5,0,6,b44426070,"From kung fu to hip hop : globalization, revolution, and popular culture / M.T. Kato.",CB430.K38 2007,n
i2473827x,wstkg,5/28/2014 16:46,9,2,0,9,0,9,b20999343,Modernity on endless trial / Leszek Kolakowski.,CB430.K64 1990,n
i46620564,kcstk,11/19/2016 17:43,4,2,1,3,0,4,b34107757,Modernity on endless trial / Leszek Kolakowski.,CB430.K6M6,n
i60559202,wstkg,11/20/2008 11:38,1,0,0,1,0,1,b45034199,Quantum shift in the global brain : how the new scientific reality can change us and our world / Ervin Laszlo.,CB430.L37 2008,n
