Course,Code,Subject,Discipline,Number of Courses,Total Subject Enrollment,Average Enrollment per Course,Number of Required Textbooks,Avg Textbooks per Course,Total Textbook Cost,Average Textbook Cost Per Course,Number of Textbooks Collected,Percent of Textbooks Collected
MUS2942YÊMusic 2942yÊ,MUS2942YÊ,Music,Music,5,88,17.6,11,2.2,882.9,176.58,3,0.27
NEU2000ÊNeuroscience 2000Ê,NEU2000Ê,Neuroscience,Social Science,1,44,44,1,1,183.1,183.1,0,0
NUR2500SÊNursing 2500sÊ,NUR2500SÊ,Nursing,Health Sciences,1,78,78,1,1,85.95,85.95,0,0
PHI1200ÊPhilosophy 1200Ê,PHI1200Ê,Philosophy,Arts and Humanities,4,632,158,6,1.5,234.69,58.6725,1,0.17
PHL1021ÊPhysiology 1021Ê,PHL1021Ê,Physiology,Medicine and Dentistry,3,1441,480.3333333,5,1.666666667,518.33,172.7766667,0,0
PHY1021ÊPhysics 1021Ê,PHY1021Ê,Physics,Science,1,29,29,1,1,118.3,118.3,0,0
POL1020EÊPolitical Science 1020eÊ,POL1020EÊ,Political Science,Social Science,12,1669,139.0833333,25,2.083333333,1683.8,140.3166667,12,0.48
POR1030ÊPortuguese 1030Ê,POR1030Ê,Portuguese,Arts and Humanities,1,19,19,1,1,147.65,147.65,0,0
PSY1000ÊPsychology 1000Ê,PSY1000Ê,Psychology,Social Science,6,3107,517.8333333,7,1.166666667,980.15,163.3583333,3,0.43
RUS1030ÊRussian 1030Ê,RUS1030Ê,Russian,Arts and Humanities,1,24,24,2,2,265.75,265.75,0,0
SEE4450ÊSoftware Engineering 4450Ê,SEE4450Ê,Software Engineering,Engineering,1,64,64,1,1,105.2,105.2,0,0
SOC1020ÊSociology 1020Ê,SOC1020Ê,Sociology,Social Science,11,1441,131,25,2.272727273,2129.69,193.6081818,12,0.48
SPA1030ÊSpanish 1030Ê,SPA1030Ê,Spanish,Arts and Humanities,3,251,83.66666667,3,1,488.6,162.8666667,0,0
SPE2001ÊSpeech 2001Ê,SPE2001Ê,Speech,Arts and Humanities,1,129,129,1,1,98.2,98.2,0,0
STA2035ÊStatistical Science 2035Ê,STA2035Ê,Statistical Science,Science,1,528,528,1,1,111.15,111.15,0,0
TST2203EÊTheatre Studies 2203eÊ,TST2203EÊ,Theatre Studies,Arts and Humanities,1,15,15,1,1,134.25,134.25,0,0
VAS1020ÊVisual Arts Studio 1020Ê,VAS1020Ê,Visual Arts Studio,Arts and Humanities,1,200,200,1,1,217.25,217.25,1,1
WOM1020EÊWomens Studies 1020eÊ,WOM1020EÊ,Womens Studies,Arts and Humanities,3,419,139.6666667,5,1.666666667,158.15,52.71666667,2,0.4
