RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i12472657,wstkg,1/16/2009 17:12,13,1,0,13,0,13,b11998623,Grecian and Roman mythology / By M.A. Dwight   with an introductory notice by Tayler Lewis. -,BL721.D98,n
i42080708,hstk ,  -  -  ,0,0,0,0,0,0,b30687949,"The classic myths in English literature and in art, based originally on Bulfinch's  Age of fable  (1855)  accompanied by an interpretative and illustrative commentary, by Charles Mills Gayley.",BL721.G3,n
i2648691x,wstkg,2/13/2011 17:11,7,2,0,7,0,7,b22338421,The classic myths in English literature and in art : based originally on Bulfinch's  Age of fable  (1855)   accompanied by an interpretative and illustrative commentary / by Charles Mills Gayley.,BL721.G3 1911,n
i15209386,wstkg,  -  -  ,3,1,0,3,0,3,b14263944,The classic myths in English literature and in art : based originally on Bulfinch's  Age of fable  (1855)   accompanied by an interpretative and illustrative commentary / by Charles Mills Gayley.,BL721.G3 1939,n
i15182423,wstkg,2/28/2012 12:57,12,5,0,12,0,12,b14243210,The classic myths in English literature and in art : accompanied by an interpretative and illustrative commentary / by Charles Mills Gayley.,BL721.G3 1963,n
i26462242,wstkg,4/25/2012 14:14,29,14,0,29,0,29,b22318872,Greece and Rome / H.A. Guerber.,BL721.G8 1994,n
i12075577,wstkg,3/25/2004 14:50,7,0,0,7,0,7,b11681536,Myths of Greece and Rome / by Jane Harrison.,BL721.H35 1977,n
i44222506,ustk ,3/24/2003 11:10,2,3,0,2,0,3,b32459348,Greek and Roman religion / Translated from the French by J. S. Tester.,BL721.H96,n
i41829657,hstk ,10/7/2002 18:28,1,0,0,1,0,1,b30465138,Classic myth and legend / by A.R. Hope Moncrieff   with illustrations in colour & monochrome from famous paintings & tatuary.,BL721.M6,n
i12472700,wstkg,12/19/2015 1:14,16,10,0,16,0,16,b11998659,Classic myth and legend / by A.R. Hope Moncrieff   with illustrations in colour & monochrome from famous paintings & statuary.,BL721.M65,n
i41904722,hstk ,  -  -  ,0,0,0,0,0,0,b30530532,"Religions and religion : a study of the science of religion, pure and applied / by James Hope Moulton.",BL721.M927,n
