RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i81085114,bstkg,  -  -  ,0,0,0,0,0,0,b64918257,Getting ready to negotiate : the Getting to yes workbook / Roger Fisher and Danny Ertel.,BF637.N4F56 1995,n
i2497920x,lstkg,7/3/2014 16:41,31,15,0,31,0,31,b21192273,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F57 1981,z
i21924272,bstkg,9/22/2016 13:18,23,13,1,22,0,23,b1863803x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F57 1983,z
i21924296,bstkg,12/15/2016 14:15,40,21,5,37,0,40,b1863803x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F57 1983,z
i41758882,hstk ,9/25/2013 15:22,12,5,0,17,0,17,b30404472,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor. --",BF637.N4F57 1983,z
i25460237,ldk2h,4/24/2015 12:02,0,25,0,66,6,66,b21580881,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F57 1991,z
i27046758,ldk2h,10/1/2015 15:32,0,13,0,110,6,110,b2283980x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 1991,z
i33196254,bstkg,2/14/2017 10:19,55,28,2,195,0,195,b2283980x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 1991,z
i40449518,lstkg,1/10/2017 12:54,10,4,2,92,0,92,b2283980x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 1991,z
i40449531,lstkg,11/3/2015 14:32,56,31,1,57,0,57,b2283980x,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 1991,z
i72204771,ldk2h,2/7/2017 13:00,37,0,1,36,6,73,b57849614,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 2011,y
i72807362,kcstk,2/15/2017 13:49,18,6,4,14,0,18,b57849614,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 2011,y
i79120271,ustk ,1/29/2017 12:04,8,6,1,7,0,8,b57849614,"Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bruce Patton, editor.",BF637.N4F57 2011,y
