RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i81797941,kcstk,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81797953,kcstk,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81797965,kcstk,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81797977,kcstk,2016-10-24 12:40,2,1,1,1,0,2,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81889136,hstk ,2016-10-19 18:06,3,0,3,0,0,3,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i82028552,hstk ,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i82028564,hstk ,  -  -  ,1,0,1,0,0,1,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i82028576,hstk ,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i82028588,hstk ,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i8202859x,hstk ,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i82028606,hstk ,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81773444,kcstk,2016-09-22 9:17,2,1,1,1,0,2,b65588514,A knock on the door : the essential history of residential schools from the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada   foreword by Phil Fontaine.,E96.5.T778 2016,n
i82390502,ustk ,2016-08-30 13:11,1,0,1,0,0,1,b65588514,A knock on the door : the essential history of residential schools from the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada   foreword by Phil Fontaine.,E96.5.T778 2016,n
i84260208,estkg,  -  -  ,0,0,0,0,0,0,b65588514,A knock on the door : the essential history of residential schools from the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada   foreword by Phil Fontaine.,E96.5.T778 2016,n
i80298680,hmz  ,2016-04-18 13:38,2,2,0,2,0,2,b64194826,"From truth to reconciliation : transforming the legacy of residential schools / edited by Marlene Brant Castellano, Linda Archibald, Mike DeGagn_©.",E96.5.T78 2011 v.1,n
i80315495,ckit2,2015-10-15 12:59,2,0,0,2,4,4,b64194826,"From truth to reconciliation : transforming the legacy of residential schools / edited by Marlene Brant Castellano, Linda Archibald, Mike DeGagn_©.",E96.5.T78 2011 v.1,n
i80796072,kcstk,2016-10-02 23:45,4,4,1,3,0,4,b64194826,"From truth to reconciliation : transforming the legacy of residential schools / edited by Marlene Brant Castellano, Linda Archibald, Mike DeGagn_©.",E96.5.T78 2011 v.1,n
i84271164,ustk ,  -  -  ,0,0,0,0,0,0,b64194826,"From truth to reconciliation : transforming the legacy of residential schools / edited by Marlene Brant Castellano, Linda Archibald, Mike DeGagn_©.",E96.5.T78 2011 v.1,n
i80298679,hmz  ,2015-03-25 12:33,1,0,0,1,0,1,b64194838,"Response, responsibility, and renewal : Canada's truth and reconciliation journey / edited by Gregory Younging, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.2,n
i80315525,ckit2,2015-10-15 12:58,2,0,0,2,4,4,b64194838,"Response, responsibility, and renewal : Canada's truth and reconciliation journey / edited by Gregory Younging, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.2,n
i80796096,kcstk,2016-10-24 12:40,3,0,1,2,0,3,b64194838,"Response, responsibility, and renewal : Canada's truth and reconciliation journey / edited by Gregory Younging, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.2,n
i84277993,ustk ,  -  -  ,0,0,0,0,0,0,b64194838,"Response, responsibility, and renewal : Canada's truth and reconciliation journey / edited by Gregory Younging, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.2,n
i80298667,hstk ,  -  -  ,0,0,0,0,0,0,b6419484x,"Cultivating Canada : reconciliation through the lens of cultural diversity / edited by Ashok Mathur, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.3,n
i80315537,ckit2,  -  -  ,0,0,0,0,4,0,b6419484x,"Cultivating Canada : reconciliation through the lens of cultural diversity / edited by Ashok Mathur, Jonathan Dewar, Mike DeGagn_©.",E96.5.T78 2011 v.3,n
